original order,Case Number,Year,Type,Country,Area,Activity,Sex ,Injury,Fatal (Y/N),Time
4746.0,2005.08.22,2005.0,Invalid,USA,South Carolina,Boogie,M,"Laceration to knee, possibly by a  small blacktip shark",Unknown,16:00
4745.0,2005.08.21,2005.0,Unprovoked,USA,South Carolina,Swimming,M,Bitten underneath left arm,N,08:30
4744.0,2005.08.19,2005.0,Unprovoked,USA,Texas,Walking,M,Left foot bitten,N,20:00
4743.0,2005.08.14,2005.0,Invalid,SOUTH AFRICA,Western Cape Province,Unknown,Unknown,Human foot recovered from the water,Unknown,20:00
4742.0,2005.08.12,2005.0,Unprovoked,USA,North Carolina,Surfing,M,Laceration on right wrist & crescent of puncture wounds on  forearm ,N,11:30
4741.0,2005.08.06,2005.0,Unprovoked,USA,South Carolina,Swimming,M,Puncture wounds on left foot ,N,09:45
4740.0,2005.08.01,2005.0,Invalid,S[A-Z][A-Z][A-Z][A-Z][A-Z][A-Z][A-Z][A-Z][A-Z],Inner Islands,Fishing,M,"FATAL, shark involvement prior to death is unconfirmed",Unknown,09:45
4739.0,2005.07.27,2005.0,Unprovoked,USA,Florida,Wading,F,Laceration on the back of left hand & toothmarks on wrist,N,18:00
4738.0,2005.07.23,2005.0,Unprovoked,USA,Florida,Surfing,M,"Right foot: Toes and back of foot, minor injury",N,11:30
4737.0,2005.07.22,2005.0,Invalid,USA,Florida,Surfing,M,"Straight 2.5"" laceration on top of left ankle",Unknown,11:15
4736.0,2005.07.17,2005.0,Invalid,LIBERIA,Unknown,Swimming,M,Presumed to have drowned until his body washed ashore 2 weeks later with shark bites,Unknown,11:15
4735.0,2005.07.17,2005.0,Provoked,CHINA,Shanghai,Diving,M,2 small cuts on right ear & head when he collided with the captive shark. PROVOKED INCIDENT,N,11:15
4734.0,2005.07.15,2005.0,Invalid,AUSTRALIA,Unknown,Unknown,Unknown,"A hoax - No shark was involved and Wells' ""daughter"" was his business partner Eileen Purchase who injured her finger on his boat",Unknown,11:15
4733.0,2005.07.15,2005.0,Unprovoked,USA,North Carolina,Swimming,M,Lacerations of left forearm,N,16:40
4732.0,2005.07.13,2005.0,Unprovoked,USA,Texas,Holding,F,Left foot bitten,N,13:00
4731.0,2005.07.01,2005.0,Unprovoked,USA,Florida,Standing,M,Ankle bitten,N,11:30
4730.0,2005.06.27,2005.0,Unprovoked,USA,Florida,Fishing,M,"Leg severely bitten, surgically amputated",N,11:30
4729.0,2005.06.25,2005.0,Unprovoked,USA,Florida,Swimming,F,"FATAL, leg bitten",Y,11:15
4728.0,2005.06.22,2005.0,Unprovoked,VANUATU,Malampa Province,Swimming,F,FATAL,Y,16:00
4727.0,2005.06.21,2005.0,Unprovoked,MEXICO ,Baja California,Surfing,M,Left foot bitten,N,07:00
4726.0,2005.06.18,2005.0,Invalid,USA,Hawaii,Swimming,M,"No injury, 2.1m [7'] tiger shark approached swimmer who repelled it with his fist",Unknown,08:00
4725.0,2005.06.16,2005.0,Unprovoked,USA,Florida,Swimming,M,Foot bitten,N,16:00
4724.0,2005.06.13,2005.0,Unprovoked,SOUTH KOREA,South Ch'ungch'ong Province,Diving,F,Knee bitten,N,16:00
4723.0,2005.06.07,2005.0,Unprovoked,USA,South Carolina,Boogie,F,Foot lacerated,N,11:30
4722.0,2005.06.05,2005.0,Invalid,USA,New Jersey,Surfing,M,Dorsum of foot/ankle  injured by surfboard skeg or other inanimate object.,Unknown,11:00
4721.0,2005.06.04,2005.0,Unprovoked,SOUTH AFRICA,Western Cape Province,SpearfishingDiving,M,FATAL,Y,15:45
4720.0,2005.06.02,2005.0,Unprovoked,USA,Texas,Wading,M,Two 2-inch lacerations on right foot,N,08:30
4719.0,2005.05.28,2005.0,Unprovoked,USA,Florida,Swimming,M,Left foot bitten,N,17:30
4718.0,2005.05.27,2005.0,Unprovoked,USA,Florida,Crouching,F,Right arm & torso bitten,N,18:30
4717.0,2005.05.25,2005.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,Left buttock  & legs lacerated ,N,11:00
4716.0,2005.05.15,2005.0,Unprovoked,AUSTRALIA,Queensland,Spearfishing,M ,Severe injury to lower leg,N,11:00
4715.0,2005.05.14,2005.0,Boat,USA,Hawaii,Kayaking,Unknown,"No injury, shark bit kayak",N,11:00
4714.0,2005.05.03,2005.0,Unprovoked,MADAGASCAR,Unknown,Fishing,M,Thigh bitten,N,11:00
4713.0,2005.05.02,2005.0,Sea Disaster,USA,South Carolina,Sea,M,No injury,N,11:00
4712.0,2005.05.02,2005.0,Unprovoked,USA,Hawaii,Surfing,M,"No injury, board damaged",N,10:30
4711.0,2005.04.25,2005.0,Provoked,AUSTRALIA,New South Wales,Fishing,M,Laceration on left thigh PROVOKED INCIDENT,N,23:00
4710.0,2005.04.17,2005.0,Unprovoked,AUSTRALIA,New South Wales,Unknown,Unknown,Shark-bitten surfboard found adrift,N,23:00
4709.0,2005.04.16,2005.0,Unprovoked,AUSTRALIA,Northern Territory,Spearfishing,M,Minor cuts above his right eye,N,23:00
4708.0,2005.04.16,2005.0,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,"No injury, board bitten",N,06:10
4707.0,2005.04.13,2005.0,Unprovoked,USA,Florida,Wading,F,Right lower leg bitten,N,06:10
4706.0,2005.04.09,2005.0,Invalid,USA,Florida,Surfing,M,Foot injured ,Unknown,06:10
4705.0,2005.04.07,2005.0,Unprovoked,USA,Texas,Surfing,M,Left foot bitten ,N,19:00
4704.0,2005.04.06,2005.0,Unprovoked,USA,Florida,Unknown,F,Left calf injured,N,19:00
4703.0,2005.04.06,2005.0,Invalid,HONDURAS,Bay Islands,SCUBA,F,"Laceration on siide of calf, small laceration on thigh, large bruise on other leg inside the knee, knuckle of hand abraded",Unknown,19:00
4702.0,2005.03.28,2005.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,"Lacerations to right calf, puncture wounds on right foot",N,09:45
4701.0,2005.03.27,2005.0,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,"No injury, shark rammed surfboard",N,09:45
4700.0,2005.03.25,2005.0,Unprovoked,VENEZUELA,Unknown,Surfing,M,Right leg bitten,N,17:30
4699.0,2005.03.19,2005.0,Unprovoked,AUSTRALIA,Western Australia,Snorkeling,M,FATAL,Y,14:00
4698.0,2005.03.12,2005.0,Provoked,USA,New Mexico,Diving,M,2 punctures on forearm as captive shark collided with diver PROVOKED INCIDENT,N,15:30
